,loss,host,protocol,start_time
0,0.0011604774535809018,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 01:43:17.318020000 EST"
1,0.01258766054684422,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 06:46:41.451952000 EST"
2,0.018123928483957875,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 02:21:37.512668000 EST"
3,1.1317338162064282e-05,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 17:31:45.911558000 EST"
4,0.0004798995902395806,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 09:23:05.944035000 EST"
5,8.685267614808381e-05,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 08:30:51.792826000 EST"
6,0.001240484916831125,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 17:22:04.730862000 EST"
7,0.000560179257362356,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 08:00:40.040348000 EST"
8,0.001836797788568207,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 23:39:13.994920000 EST"
9,0.014143600258191898,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 06:01:09.299818000 EST"
10,1.628903259435422e-05,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 10:29:51.538985000 EST"
11,0.00042717184380368665,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 11:03:12.723046000 EST"
12,1.7095624374941233e-05,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 16:59:38.986815000 EST"
13,0.013633958731838347,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 04:52:38.659007000 EST"
14,0.008275620671550367,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 05:26:30.119574000 EST"
15,3.4525220673702136e-05,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 15:37:13.888005000 EST"
16,0.00012121212121212121,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 02:16:01.576623000 EST"
17,6.254104255917946e-05,mlcnetA.cs.wpi.edu,cubic,"Dec  7, 2020 19:40:15.988354000 EST"
18,4.4332791488104036e-05,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 23:15:17.130303000 EST"
19,0.00010953802338636799,mlcnetC.cs.wpi.edu,hybla,"Dec  8, 2020 10:56:13.722857000 EST"
20,0.01517100561510975,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 02:44:43.675461000 EST"
21,0.00023484670570677495,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 20:53:26.488468000 EST"
22,0.00026598820400138777,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 10:36:43.828577000 EST"
23,0.0007383153569594247,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 22:29:42.225044000 EST"
